"x_predictor","modifier_predictor","x_predictor_label","modifier_predictor_label","x","modifier_level","modifier_value","predicted_logkpl"
"MWa","LogSaqd","Molecular weight","Aqueous solubility",46.3181818181818,"90th percentile",-1.99139982823808,-3.20094022687619
"MWa","LogSaqd","Molecular weight","Aqueous solubility",50.3636363636364,"90th percentile",-1.99139982823808,-3.20672604794186
"MWa","LogSaqd","Molecular weight","Aqueous solubility",54.4090909090909,"90th percentile",-1.99139982823808,-3.21251186900753
"MWa","LogSaqd","Molecular weight","Aqueous solubility",58.4545454545455,"90th percentile",-1.99139982823808,-3.2182976900732
"MWa","LogSaqd","Molecular weight","Aqueous solubility",62.5,"90th percentile",-1.99139982823808,-3.22408351113886
"MWa","LogSaqd","Molecular weight","Aqueous solubility",66.5454545454545,"90th percentile",-1.99139982823808,-3.22986933220454
"MWa","LogSaqd","Molecular weight","Aqueous solubility",70.5909090909091,"90th percentile",-1.99139982823808,-3.2356551532702
"MWa","LogSaqd","Molecular weight","Aqueous solubility",74.6363636363636,"90th percentile",-1.99139982823808,-3.24144097433587
"MWa","LogSaqd","Molecular weight","Aqueous solubility",78.6818181818182,"90th percentile",-1.99139982823808,-3.24722679540154
"MWa","LogSaqd","Molecular weight","Aqueous solubility",82.7272727272727,"90th percentile",-1.99139982823808,-3.25301261646721
"MWa","LogSaqd","Molecular weight","Aqueous solubility",86.7727272727273,"90th percentile",-1.99139982823808,-3.25879843753287
"MWa","LogSaqd","Molecular weight","Aqueous solubility",90.8181818181818,"90th percentile",-1.99139982823808,-3.26458425859855
"MWa","LogSaqd","Molecular weight","Aqueous solubility",94.8636363636364,"90th percentile",-1.99139982823808,-3.27037007966421
"MWa","LogSaqd","Molecular weight","Aqueous solubility",98.9090909090909,"90th percentile",-1.99139982823808,-3.27615590072988
"MWa","LogSaqd","Molecular weight","Aqueous solubility",102.954545454545,"90th percentile",-1.99139982823808,-3.28194172179555
"MWa","LogSaqd","Molecular weight","Aqueous solubility",107,"90th percentile",-1.99139982823808,-3.28772754286121
"MWa","LogSaqd","Molecular weight","Aqueous solubility",111.045454545455,"90th percentile",-1.99139982823808,-3.29351336392688
"MWa","LogSaqd","Molecular weight","Aqueous solubility",115.090909090909,"90th percentile",-1.99139982823808,-3.29929918499255
