"compound_id","CAS.No","Compound","logkpl","MWa","Mptc","LogSaqd","LogSoce","Texpi"
"58-22-0","58-22-0","testosterone",-2.27083521030723,288.42,428,-7.0982975364947,-3.7882975364947,298
"58-22-0","58-22-0","testosterone",-2.38875983135141,288.4,428,-6.95310304981828,-3.47310304981828,308
"58-22-0","58-22-0","testosterone",-2.65757731917779,288.4,428,-7.09151498112135,-3.61151498112135,298
"58-22-0","58-22-0","testosterone",-2.65757731917779,288,428,-7.07572071393812,-3.59572071393812,298
"58-22-0","58-22-0","testosterone",-2.65757731917779,288,428,-7.07572071393812,-3.59572071393812,298
"58-22-0","58-22-0","testosterone",-3.39794000867204,288.4,428,-7.07572071393812,-3.59572071393812,299
"58-22-0","58-22-0","testosterone",-3.06752623532285,288.4,428,-7.09151498112135,-3.61151498112135,298
"58-22-0","58-22-0","testosterone",-2.13194363817696,288,428,-7.07572071393812,-3.59572071393812,310
"58-54-8","58-54-8","ethacrynic acid",-3.82390874094432,303.14001,398,-7.19384153067189,-4.35384153067189,310
"59-05-2","59-05-2","methotrexate",-3.40160112979023,454.44,468,-5.24250320319763,-7.09250320319763,298
"59-50-7","59-50-7","chlorocresol",-1.26406804435028,142.6,340,-4.45593195564972,-1.35593195564972,298
"59-50-7","59-50-7","chlorocresol",-1.65255620893436,143,340,-4.45593195564972,-1.56593195564972,305
"60-12-8","60-12-8","2-phenylethanol",-1.25963731050576,122.16,246,-3.69155358131792,-2.35155358131792,310
"60-12-8","60-12-8","2-phenylethanol",-2.11527250510331,122.2,259,-3.74472749489669,-2.38472749489669,298
"610-81-1","610-81-1","4-amino-3-nitrophenol",-2.1297393876227,154.12,425,-4.24333878240929,-2.92533878240929,305
"610-81-1","610-81-1","4-amino-3-nitrophenol",-2.26671923730847,154.12,425,-4.24333878240929,-2.92533878240929,305
"614-18-6","614-18-6","nicotinate, ethyl",-3.10790539730952,151.2,282,-3.431798275933,-2.021798275933,310
"614-18-6","614-18-6","nicotinate, ethyl",-3.08618614761628,151.2,282,-3.32364617807633,-1.91364617807633,310
"623-05-2","623-05-2","4-hydroxybenzyl alcohol",-2.69897000433602,124.1,393,-4.05060999335509,-3.73060999335509,310
"63-36-5","63-36-5","salicylate",-3.96686900819185,137.11,432,-2.0388382055451,0.0211617944549037,305
"64-17-5","64-17-5","ethanol",-2.72124639904717,46.07,159,-1.76955107862173,-2.07955107862173,308
"64-17-5","64-17-5","ethanol",-3.09691001300806,46.07,159,-1.76955107862173,-2.07955107862173,310
"64-17-5","64-17-5","ethanol",-3.09691001300806,46,159,-1.76955107862173,-2.07955107862173,298
"64-19-7","64-19-7","acetic acid",-2.77786589964853,60.05,289.6,-1.74973631556906,-1.91973631556906,310
"64-85-7","64-85-7","cortexone",-3.34678748622466,330.5,415,-6.88605664769316,-3.47605664769316,299
"65-85-0","65-85-0","benzoic acid",-2.11918640771921,122.1,395,-4.38721614328026,-2.82721614328026,310
"65-85-0","65-85-0","benzoic acid",-1.50863830616573,122.1,395,-4.38721614328026,-2.48721614328026,308
"65-85-0","65-85-0","benzoic acid",-1.50863830616573,122.1,395,-4.38721614328026,-2.48721614328026,308
"66-27-3","66-27-3","methyl methanesulfonate",-1.91205408690953,110.13,293,-1.97528142368839,-1.30528142368839,305
"66-27-3","66-27-3","methyl methanesulfonate",-2.06776764179179,110.13,293,-1.97528142368839,-1.30528142368839,305
"6677-98-1","6677-98-1","hydrocortisone-21-propionate",-2.46852108295775,418.5,469,-7.431798275933,-4.431798275933,310
"67-56-1","67-56-1","methanol",-3.30102999566398,32.04,175,-1.50863830616573,-2.27863830616573,310
"67-56-1","67-56-1","methanol",-3.30102999566398,32,175,-1.50863830616573,-2.22863830616573,298
"67-56-1","67-56-1","methanol",-2.79588001734407,32,175,-1.50863830616573,-2.22863830616573,303
"68-96-2","68-96-2","17-alfa-hydroxyprogesterone",-3.22184874961636,330.5,496,-7.72124639904717,-4.83124639904717,299
"69-29-7","69-29-7","ethyl ether",-1.79588001734408,74.1,157,-3.08618614761628,-2.10618614761628,303
"69-65-8","69-65-8","mannitol",-4.72681868815271,182.17,440,-2.91176652493691,-6.17176652493691,305
